Name,Description,Category,Type,Cost,Custom Formula,,,,,
Tier 0 â€“ Custom Theme Design,6-page website UI design on Figma,Website,Package,1250,y=x+180,,,,,
Figma Design-ONLY Per Page for WebDev,"Figma design, cost per page more pages are more cost-effective",Website,Component,975,y=9x+126,,,,,
Custom Graphic Design Per Image for WebDev,"Custom-created images using photo manipulation, illustrations, and graphic design; more images are cost-effective.",Website,Component,550,y=14x+51,,,,,
Website Animations: $10/animation,Animations on the website to grab user attention,Website,Component,225,y=10x,,,,,
Tier 1 â€“ Development of Existing Design/Theme / 6-PAGE DEVELOPMENT (NO DESIGN) PACKAGE,"Generic website created from our own prebuilt designs, perfect for time reduction and efficient delivery, includes website development and content",Website,Package,2550,y=x+350,,,,,
Development & Launch of Pre-Built Design Per Page,Development and launch of a prebuilt design with more pages are cost-effective.,Website,Component,1800,y=6x+216,,,,,
Tier 2 â€“ Customized Portfolio Site w/ Custom Design / 6-PAGE DESIGN+DEVELOPMENT PACKAGE,Includes a 6-page custom-designed website with basic keyword research and optimized content,Website,Package,4500,y=x+500,,,,,
Additional Static Web Pages,Custom-designed static pages,Website,Component,1200,y=20x+180,,,,,
Additional Dynamic Web Pages,Custom-designed dynamic pages,Website,Component,3600,y=100x+500,,,,,
Keyword research (One-Time),Basic keyword research ,Website,Component,600,y=x+75,,,,,
SEO Optimized Writing Per Page,"Requires keywords, written content optimized for provided keywords",Website,Component,725,y=6x+86,,,,,
On-page SEO (One-Time) Per Page,Basic on-page SEO to kick off the site,Website,Component,450,y=50x,,,,,
Tier 3 â€“ E-commerce Store w/ Custom Design Portfolio Site,"Custom-designed e-commerce website with basic keyword research, SEO-optimized content, and on-page SEO.",Website,Package,6000,y=x+750,,,,,
Additional payment processors integration,Add a payment processor to your ecommerce website.,Website,Component,300,y=50x,,,,,
Additional 3rd party integrations,Third-party integrations into your non-coded websites,Website,Component,300,y=50x,,,,,
Additional E-commerce product addons features,Add add-on products and recommendations to your e-commerce site.,Website,Component,300,y=50x,,,,,
Customer chat feature,Add the ability to talk to your users on a non-coded website.,Website,Component,300,y=x+50,,,,,
Customer user login and accounts,Add customer login and accounts on a non-coded website.,Website,Component,300,y=x+50,,,,,
Tier 4 â€“ Advanced Complex Site w/ Many Features or Pages,"A complex, non-coded website with all the above features applicable",Website,Package,10500,y=x+1500,,,,,
Tier 5 â€“ Custom Coded or Highly Secure Website,"Custom-coded websites that are created from scratch, more robust, better performance and security, more flexibility",Website,Package,21000,y=x+2500,,,,,
Extra Website Add-Ons / Website edits for existing content or extra features,Additional edits to your website,Website,Package,300,y=50x+50,,,,,
Website monthly maintenance/speed & security package,"Maintenance package to ensure uptime, performance, security, and minor edits to the website",Website,Component,500,y=x+80,,,,,
Admin Dashboard,Add an admin dashboard to a coded website; cost per admin feature,Website,Component,200,y=30x,,,,,
Blogs functionality,Add a blog to a coded website.,Website,Component,300,y=x+50,,,,,
Reviews Feature,Add reviews to a coded website.,Website,Component,600,y=x+100,,,,,
